feature,beta_true,a,b,c,d,logOR_hat,se_wald,p_wald,neglog10p
0,0.010707534564635694,150515,149789,149756,149940,0.006063000757399389,0.00516397986434807,0.24035714516458562,0.6191429629489897
1,0.025456907093774735,151241,148962,148964,150833,0.027651857486706347,0.005164094934730618,8.572800851782945e-08,7.066877264920918
2,0.010238218344221839,150247,149394,150032,150327,0.007657786369950496,0.00516398460422186,0.13809513594179398,0.8598216180965368
3,-0.040376850043947615,148133,151493,152002,148372,-0.04659979002055704,0.005164324092870367,1.8233131332761178e-19,18.739138739805963
4,0.02805142555212934,151299,148805,149149,150747,0.027278325111281428,0.005164095301083949,1.2756876547900255e-07,6.894255647249923
5,0.013830410279490186,150315,149475,149458,150752,0.014224575614521489,0.005164004564682573,0.005877058421837295,2.230839992090527
6,-0.01663688750594061,149480,150460,150736,149324,-0.01594613087496333,0.005164011658355022,0.0020155274285919423,2.695611287312432
7,0.018005285917856818,150387,148991,149524,151098,0.019797722047571093,0.005164043734923342,0.00012619751317231298,3.898949203144049
8,0.01129586255132483,150483,149416,149536,150565,0.013973430527505413,0.005164001001529366,0.006811319153063799,2.166768769817648
9,0.009113362089002087,150862,149667,149322,150149,0.013475726904578413,0.005164007455367589,0.009066184496938474,2.0425754472906754
10,0.0008806309382237547,150238,150196,150033,149533,-0.0030585599086773627,0.005163978218872818,0.5536580642204607,0.25675837005383434
11,0.016939282338442604,150856,148530,149369,151245,0.02801997195711695,0.005164108267673412,5.766093032401454e-08,7.239118354814158
12,-0.022818195313630753,148505,150978,150944,149573,-0.02563975674859122,0.005164091865484894,6.869828443800588e-07,6.163054108186596
13,-0.005047580124068879,149702,150304,149963,150031,-0.003559904180775486,0.005163974453824449,0.4905886162678199,0.30928253348272816
14,-0.014937920551156177,148767,150680,150688,149865,-0.0182535835303881,0.0051640404107493425,0.000408163612325617,3.389165715128493
15,0.018554571267786386,150224,150003,149412,150361,0.007803672215839015,0.005163984313562273,0.13074445114357852,0.8835767337330501
16,0.0012307444860218104,149525,150273,150185,150017,-0.006109263090390821,0.005163978804925579,0.2367879533623939,0.6256403962114478
17,-0.009061441007789744,150023,150917,149916,149144,-0.011104219180243825,0.00516401452490003,0.0315308992816417,1.501263642715933
18,-0.024226547623733587,149469,150285,150993,149253,-0.017035046693329364,0.005164023822468385,0.0009710141503341911,3.012774441186456
19,-0.007968810117525255,149754,150322,150279,149645,-0.008013429420831086,0.005163979748506672,0.12071167821431138,0.9182507121835795
20,0.000252276236394871,150007,150199,149965,149829,-0.002186404291501485,0.005163971199319743,0.6720064275555788,0.17262657301973094
21,-0.008539243699126732,149742,150913,150699,148646,-0.021506456574495392,0.005164061896049609,3.11844797894983e-05,4.506061496327767
22,0.04009510081675122,151454,148174,148685,151687,0.041883763072461985,0.005164256869475045,5.048764749662781e-16,15.296814865054875
23,0.031192212059211247,151300,148316,148861,151523,0.037643806537938085,0.005164202908355978,3.1139844856037967e-13,12.506683555490905
24,-0.08,146827,153304,152980,146889,-0.08379757017734096,0.005165103906059373,3.4238890275096373e-59,58.465480319789634
25,-0.058528934739184094,147432,153025,151896,147647,-0.06560582200242839,0.005164682164171604,5.706583606446784e-37,36.24362381555686
26,-0.005415115215291775,150286,150017,150295,149402,-0.004167831623510039,0.005163984330657741,0.4196111177771996,0.377153013506785
27,-0.01308109146370938,149273,150837,150266,149624,-0.014704466757816356,0.005164010503854253,0.00440655191244511,2.3559011092010804
28,0.006619486170767629,150207,149983,149822,149988,0.00259974787903315,0.005163971338385842,0.6146552067149288,0.2113684351390354
29,0.006733473756928206,150182,149641,149910,150267,0.005987377561856132,0.005163976117792884,0.24627237593508666,0.6085842996987674
30,0.06561883382612287,152509,147519,147297,152675,0.06912692163290471,0.005164741452559449,7.460585616270481e-41,40.12722708138353
31,-0.03445470315635261,148465,151341,151472,148722,-0.037508201592024844,0.005164197428621452,3.7825342419680135e-13,12.422217131769958
32,-0.011699663232379172,149478,150330,150779,149413,-0.014784508496877853,0.005164007393420809,0.004196620203919713,2.37710033286271
33,0.0632929633273852,152439,147648,147550,152363,0.06403197023330205,0.005164631073630408,2.6736231469073915e-35,34.57289980752749
34,0.02003735947385753,150264,149024,149542,151170,0.01911405814663315,0.005164043694767085,0.0002144349564978839,3.6687044159164985
35,0.02054426718954711,151144,149595,148744,150517,0.022150635541593234,0.00516406444848293,1.7917246734070446e-05,4.746728725704413
36,-0.015925904939120345,149224,150979,150833,148964,-0.024160739523954408,0.005164064672935972,2.8880032737458113e-06,5.539402318800136
37,-0.051063741520175086,147642,152391,151615,148352,-0.053415568411954883,0.0051644454723894125,4.5048343713339575e-25,24.346321172040753
38,0.005188705323612489,150198,149830,150264,149708,-0.0012539071109250407,0.005163975588424767,0.8081462578386727,0.09251003375002947
39,0.003377677973078771,150158,150396,149895,149551,-0.003881306613376111,0.005163980508236312,0.45228478637118497,0.3445880204923455
40,-0.038028112528181585,148280,151366,151654,148700,-0.040268989429969336,0.005164234621733334,6.3061424216042984e-15,14.200236225117074
41,-0.02116900386208804,149085,151059,150491,149365,-0.020664113914532774,0.00516404381284855,6.293227304864474e-05,4.201126581701498
42,-0.002232191774264422,150194,149935,149693,150178,0.0049606354952194676,0.005163974005221239,0.3367414389646698,0.47270343660769304
43,-0.029272058419334543,148680,151272,150547,149501,-0.024255360613151946,0.005164081365052137,2.6409291919693776e-06,5.578243242848063
44,-0.003044783591391806,149624,150359,150428,149589,-0.010493283486333565,0.005163987042679565,0.04215244411685996,1.3751772386978056
45,0.0029584334018772957,149926,149669,150140,150265,0.0025478512821671346,0.005163975068472119,0.6217373719740908,0.20639302686649375
46,0.0011025992277606835,150238,150587,149549,149626,-0.0018055320248192438,0.0051639905331325574,0.7266097053233729,0.1386988055646389
