feature,beta_true,logOR_true,a,b,c,d,a_obs,b_obs,c_obs,d_obs,logOR_naive,se_naive,p_naive,logOR_lambda,se_lambda,p_lambda,a_hat,b_hat,c_hat,d_hat
0,0.010707534564635694,0.006063000757399389,150515,149789,149756,149940,165336,134968,164860,134836,0.0019046448032723079,0.005190330557982748,0.7136486967215752,0.0035996848977976298,0.005291780915445951,0.496352048371973,144608.83116883112,141394.97835497838,144059.22077922075,141365.54112554115
1,0.025456907093774735,0.030771684488287626,150932,148837,148855,151376,165070,134699,164691,135540,0.00852274569921736,0.005189583562991566,0.10053213344825204,0.016111552571842613,0.005291689731950083,0.0023292058265629466,144403.11688311686,141091.16883116885,143474.02597402595,142460.25974025976
2,0.010238218344221839,0.006027246679757865,150307,149633,149915,150145,165051,134889,165015,135045,0.0013739714710398357,0.005190100089963887,0.7912180181474495,0.0025969259060321715,0.005291733938373722,0.6236022785237495,144279.74025974024,141377.4025974026,144151.948051948,141619.48051948054
3,-0.040376850043947615,-0.03919158816142547,148154,151224,151715,148907,163830,135548,166005,134617,-0.02008064980407051,0.0051897643696115206,0.00010915737132614264,-0.03795995690936484,0.005291912466965983,7.326364549549902e-13,142351.68831168828,142770.21645021645,145659.99999999997,140646.66666666666
4,0.02805142555212934,0.031693417629627525,151751,148826,148796,150627,166106,134471,164062,135361,0.018978392798800536,0.005190338822968319,0.0002556979910301466,0.03586952515955094,0.005291987258735622,1.2178147802630412e-11,145867.01298701295,140396.79653679655,142750.12987012984,142414.63203463206
5,0.013830410279490186,0.0026927697855999434,150333,149696,150102,149869,165510,134519,165045,134926,0.005834459235728243,0.005190968792394819,0.26102852835954227,0.011024743987034506,0.005291935063785321,0.03722292849105386,145068.0519480519,140673.8528138528,144252.72727272726,141433.9393939394
6,-0.01663688750594061,-0.01994693648543123,148704,150743,150752,149801,164338,135109,165196,135357,-0.003373483735620686,0.005189185461091063,0.5156283427857862,-0.006378109280408735,0.005291608163027783,0.2280777402726949,143239.48051948048,141948.13852813854,144224.93506493504,142016.01731601733
7,0.018005285917856818,0.022494710322962755,150774,148584,149730,150912,165418,133940,165062,135580,0.014324324703814425,0.005190884117613539,0.005788715729977398,0.027068409661828767,0.005292018884484291,3.138248062557233e-07,145249.3506493506,139853.50649350652,143935.0649350649,142390.64935064936
8,0.01129586255132483,0.01752710020821681,150279,149366,149319,151036,164932,134713,164876,135479,0.006009626743135574,0.0051896612279894025,0.24686411181516044,0.011360381899040733,0.005291682530456517,0.03180622971366446,144216.62337662335,141159.5670995671,143745.974025974,142306.40692640693
9,0.009113362089002087,0.0031982941282072417,150936,149721,150037,149306,165720,134937,165085,134258,-0.0012055493459202206,0.005191423696822102,0.8163676030784258,-0.0022777017250569013,0.005292041689361042,0.6669037357884134,145123.63636363635,141216.36363636365,144651.68831168828,140436.8831168831
10,0.0008806309382237547,0.006002371122851268,150260,150009,149541,150190,165345,134924,164741,134990,0.004148688187129412,0.005190138633811826,0.424092981399361,0.007841299742089174,0.005291751271474149,0.1383943888525232,144643.3766233766,141327.0995670996,143824.6753246753,141633.41991341993
11,0.016939282338442604,0.02257752742653225,151430,149507,148799,150264,166234,134703,163962,135101,0.016711980010627993,0.0051903861511392105,0.0012828224182922377,0.031585358944223894,0.005291964303482752,2.393697974479419e-09,145912.72727272726,140693.9393939394,142755.32467532463,142066.5800865801
