feature_id,seed,m,n_case,n_ctrl,prev0_mean,prev_sd,beta_mean,beta_sd,null_frac,eps,n_val,var_extra_scale,xlim,is_null,beta_true,logit_prev0,prev0,prev1,a_raw,b_raw,c_raw,d_raw,log_or_naive,se_naive,z_naive,p_naive,y_naive,sig_naive,var_extra,se_floor,se_lambda,z_lambda,p_lambda,y_lambda,sig_lambda
0,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.239761324748489,0.014206303509013104,0.014206303509013104,14213,1421331,985787,98578669,1.2199273202658767e-05,0.008490216429800239,0.001436862452627229,0.0004981825220836601,0.0004981825220836601,False,0.0015624999999999997,0.039528470752104736,0.04042998608736898,0.00030173824884075406,0.00010456997776850594,0.00010456997776850594,False
1,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-1.6352075494441487,0.16311822744556662,0.16311822744556662,163024,16316698,836976,83683302,-0.001045063288309739,0.0027206728460037063,-0.384119424665407,0.15435017656098682,0.15435017656098682,False,0.0015624999999999997,0.039528470752104736,0.03962198961100996,-0.02637584075332103,0.009236133770906539,0.009236133770906539,False
2,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,False,0.007736577753963789,-2.547431182868297,0.0725992504445296,0.07312186888128279,73153,7263533,926847,92736467,0.00766629980402806,0.0038596980910238715,1.9862433856826356,1.327843880650272,1.327843880650272,False,0.0015624999999999997,0.039528470752104736,0.0397164609369195,0.19302575363409696,0.07214797133566925,0.07214797133566925,False
3,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.395626560089501,0.032432425419603825,0.032432425419603825,32484,3242687,967516,96757313,0.001834032968599111,0.005668880642992064,0.3235264744665887,0.12708855967728666,0.12708855967728666,False,0.0015624999999999997,0.039528470752104736,0.0399328963104918,0.04592787245730646,0.016207901493550135,0.016207901493550135,False
4,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-4.738938927013372,0.008672060922847363,0.008672060922847363,8640,868592,991360,99131408,-0.005290268572165466,0.010858366978502438,-0.48720664743043046,0.2033480453036179,0.2033480453036179,False,0.0015624999999999997,0.039528470752104736,0.04099273269056153,-0.12905381576045885,0.04705504034364453,0.04705504034364453,False
5,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.1194103308618057,0.04231366068328695,0.04231366068328695,42514,4230477,957486,95769523,0.005163209685905986,0.004981225716645256,1.0365339736869608,0.522946647796434,0.522946647796434,False,0.0015624999999999997,0.039528470752104736,0.039841091973490984,0.12959508462623023,0.04726237140412273,0.04726237140412273,False
6,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.7230458955681303,0.023590317661461743,0.023590317661461743,23808,2357385,976192,97642615,0.01014372559869334,0.006592468004108349,1.5386840849848478,0.9069937567043649,0.9069937567043649,False,0.0015624999999999997,0.039528470752104736,0.040074438665877676,0.25312208820358234,0.09681563444346765,0.09681563444346765,False
7,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.0626488266071754,0.044674518115265745,0.044674518115265745,44565,4471190,955435,95528810,-0.0034340620338597244,0.00487028206054172,-0.7051053699090591,0.31808552659349115,0.31808552659349115,False,0.0015624999999999997,0.039528470752104736,0.0398273730912451,-0.08622366396076983,0.03091570409886922,0.03091570409886922,False
8,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-3.998754631079612,0.01800821975676432,0.01800821975676432,17948,1798301,982052,98201699,-0.001957309846113737,0.007569643396810779,-0.2585735870910888,0.09910642971133093,0.09910642971133093,False,0.0015624999999999997,0.039528470752104736,0.04024673280099741,-0.04863276370262856,0.017180834437311006,0.017180834437311006,False
9,3,20000,1000000,100000000,-3.5,1.0,0.06,0.03,0.8,0.8,1000,1.0,0.35,True,0.0,-2.2345369372859545,0.0966916483854227,0.0966916483854227,96319,9665696,903681,90334304,-0.0038720759223362677,0.0034063509670719267,-1.1367225396814218,0.5923469088595885,0.5923469088595885,False,0.0015624999999999997,0.039528470752104736,0.039674969778323355,-0.09759493060664658,0.035149475982699574,0.035149475982699574,False
