code,log_or,p_two,group
P29.89,4.238803396583231,1.0696466220458891,P
P23.9,3.2588808748191465,0.6257760293377919,P
L30.8,3.8112613718140724,1.0614125710594324,L
R58,4.034988199528504,0.9454930491189044,R
L53.0,0.6982570847380722,0.117523123443848,L
P00.2,3.126650569385405,1.1179849353106768,P
L50,0.9418124699230026,0.31451231524546613,L
P70.1,4.649554837549472,1.3908684129777331,P
H04.30,0.5778833145528006,0.18756340714424047,H
R26.0,6.342084259132925,2.060020166081769,R
Z02.89,1.6520227288785034,0.4227521709110813,Z
R06.82,4.474805569469593,1.4026876906172483,R
R35.0,-1.2212747865481672,0.2628963781047787,R
P07.32,4.415900531579797,1.101733627659302,P
L20.9,5.579929120296166,1.57330762214001,L
J22,4.392406447724941,1.328945568016213,J
Z91.04,3.618177163284656,1.1843724298590306,Z
P01.1,5.846369620256962,1.7396791383748844,P
J18.0,0.7198446247270271,0.10879183184263598,J
R35,-0.41163496884437806,-0.03934753666618014,R
R45.4,4.552834600656019,1.335938667844576,R
R00.0,5.599647021483154,1.7780109822070096,R
P39,4.663480096718176,1.5698162916706042,P
L02,2.0470207016541417,0.5793678162227628,L
R06.00,5.323436964286251,2.1092563769656993,R
Z20.1,2.049820012198204,0.29895627082324727,Z
P25,4.2580279422529586,0.9779111016469973,P
Z11,1.2601277759883749,0.12156294301694825,Z
J30.2,1.3762942585389024,0.36046476103371,J
R06.83,4.224684545845467,1.1069871314210888,R
R22.9,2.2300064023308233,0.7786765412251525,R
R78,3.243954635542533,0.9111240306038797,R
Z13.42,4.642954340917071,1.4900515490444959,Z
L85.1,0.014467547584397777,0.07042282765962718,L
P96.82,0.3910351715405903,-0.047037885224235146,P
Z38.1,0.6297903649956141,0.29440909148254546,Z
R23.8,3.929739610704618,1.1003753182774265,R
R01.1,2.876112158644738,0.9918427843973543,R
P13,-0.3278572562853503,0.1253867990449072,P
R07.9,2.547075555655223,0.5305136683745733,R
R00,4.375873498231663,1.6581585083523425,R
J01.80,4.073415676981825,1.360201643761491,J
J35.1,5.5464053203225125,1.794239974677534,J
L03.90,-0.06901855170415018,-0.17237059154200002,L
H57.8,1.6716204027625927,0.24178613184889197,H
L90,2.787253476901767,0.6844241286684584,L
R78.89,1.77529452417245,0.49255318875527054,R
P61.0,3.7778157406070787,0.9653270193139907,P
R04.0,2.04883160018113,0.42645664880117873,R
R26.89,4.740431785016434,1.4613883753867465,R
J45.90,0.668883182273125,-0.035459356290962835,J
R61,3.8781849953424263,1.1617002125879814,R
H51,5.99805482231198,1.7620782314529158,H
J15.9,2.3011095818560245,0.5390052085892953,J
J34.89,5.090159514146381,1.9954570443580215,J
J81.1,3.919011232569543,1.273889782716839,J
H60,0.6007257329743895,0.2515603724666893,H
P36.9,6.009388744605123,1.9523835029776866,P
H57,2.5088966624038664,0.7880470319070338,H
Z02,2.0422518394338702,0.39730636870835656,Z
J11.2,-0.5175671503352082,0.01948466974128355,J
H01.00,0.9374922209412893,0.33854300956016936,H
H66,0.12271285552956726,0.07527581640730535,H
H65.04,3.3200302727444795,0.7243498823255391,H
P04,4.133807200065705,1.3339514528267498,P
R07.0,0.9842807621409516,0.06484921570759403,R
J82,1.8311121829952939,0.3907444917482395,J
L90.9,-0.1550916434560251,0.07452223993175056,L
J21.9,5.463754403913924,2.2306215974476302,J
