feature,mean_shap,std_shap,t_stat,p_value,p_two,log_or,group
H92,1.3467454e-05,2.8966198e-05,65.752,0.0,936.7632337627314,3.234000077077056,H
H50.34,-1.0727432e-07,6.261892e-07,-24.227308,0.0,125.8010270755697,-0.17996785518762998,H
H66.90,2.1990418e-05,0.00013964041,22.27088,0.0,106.04477196191704,3.876576706631637,H
B34.9,3.2646676e-05,0.00021420089,21.55424,0.0,99.59299553517792,3.8086738459072915,B
B34,2.6082367e-05,0.00018250803,20.21064,0.0,87.21009677757537,3.4600663973197743,B
H66.93,6.4947003e-06,5.3518776e-05,17.162003,0.0,62.66989757478037,2.92325223716432,H
R09.81,7.467276e-05,0.00066455716,15.890768,0.0,53.65876498262504,4.36126528891355,R
J21.8,9.229746e-06,8.266725e-05,15.789605,0.0,52.936733323714996,3.3932929389735706,J
L30,2.000131e-05,0.00018646047,15.170036,0.0,48.54976578936053,3.8736845788914107,L
L3,1.4744709e-05,0.00013834969,15.072074,0.0,48.171195373638625,3.4621445669719253,L
Z38.00,4.708288e-05,0.00044245445,15.049064,0.0,47.80777089858514,4.005931862112082,Z
L20.83,1.7810371e-06,1.8708182e-05,13.46345,0.0,38.31777469014429,2.6447943112717387,L
G47,2.0727105e-06,2.204339e-05,13.297661,0.0,36.97050703587714,2.4636712386356203,G
L20.9,6.839489e-05,0.0007351263,13.1576,0.0,36.61635274537194,4.0011658642461985,L
J21.9,1.5331395e-06,1.700861e-05,12.747583,0.0,34.2378609139091,2.5467507232225444,J
Z38,3.105607e-06,3.50495e-05,12.530825,0.0,32.75899568062865,2.809891248167992,Z
P92.9,2.1358124e-05,0.00024209423,12.476526,0.0,32.40339658824906,3.60877732505238,P
L30.9,4.8147886e-06,5.5602257e-05,12.246156,0.0,31.068269019593547,2.935448675740259,L
Z68,2.9175314e-06,3.4858735e-05,11.836381,0.0,29.308541728081742,2.7562062801506784,Z
R09,1.5222244e-05,0.00018488034,11.64402,0.0,28.189440403192158,3.7448297401532757,R
H51.9,-4.874453e-07,6.1359046e-06,-11.23472,0.0,26.18949788132447,-0.9126905019185216,H
H66.92,4.284646e-06,5.415404e-05,11.189201,0.0,26.115123648861186,2.834612671545968,H
R68,2.7288052e-06,3.5056983e-05,11.008116,0.0,25.180653304663295,2.935054907271534,R
B3,3.178551e-06,4.097187e-05,10.971308,0.0,24.98149573965362,2.7241636000341245,B
B9,2.2095648e-05,0.0002978355,10.491686,0.0,22.54869644088799,3.835051229032539,B
B97,1.3160506e-05,0.00017854349,10.42422,0.0,22.35459871663218,3.5080668437809646,B
S8,-1.3066345e-07,1.7960899e-06,-10.2882395,0.0,21.928230514072023,-0.3875345214747747,S
H65.00,4.5353374e-07,6.4559804e-06,9.934875,0.0,20.339812012224638,0.936990682172885,H
832.2,6.456008e-08,9.494492e-07,9.616285,0.0,19.133084817610584,-0.061826992882306725,other
Q67.3,2.887931e-05,0.0004393574,9.295738,0.0,17.557150699899392,3.816104636121691,Q
J01.90,3.8412654e-06,5.870159e-05,9.254212,0.0,17.419728043954702,2.825697409593274,J
J30.9,1.1656893e-05,0.00017858442,9.231116,0.0,17.49179444000196,3.484483004618423,J
