alpha,n_case,n_ctrl,ctrl_case_ratio,seed,m,null_frac,beta_mean,beta_sd,eps,n_val,var_extra_scale,var_extra,se_floor,naive_fdr,naive_discoveries,naive_tp,naive_fp,lambda_fdr,lambda_discoveries,lambda_tp,lambda_fp,run_dir
0.01,100,10000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.738667,375,98,277,0.736264,364,96,268,ncase_alpha_sweep/alpha_0p01/n_100
0.01,193,19300,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.747801,341,86,255,0.746875,320,81,239,ncase_alpha_sweep/alpha_0p01/n_193
0.01,373,37300,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.69375,320,98,222,0.689655,290,90,200,ncase_alpha_sweep/alpha_0p01/n_373
0.01,720,72000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.626298,289,108,181,0.637097,248,90,158,ncase_alpha_sweep/alpha_0p01/n_720
0.01,1389,138900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.581633,294,123,171,0.610329,213,83,130,ncase_alpha_sweep/alpha_0p01/n_1389
0.01,2683,268300,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.476839,367,192,175,0.475962,208,109,99,ncase_alpha_sweep/alpha_0p01/n_2683
0.01,5179,517900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.348269,491,320,171,0.35533,197,127,70,ncase_alpha_sweep/alpha_0p01/n_5179
0.01,10000,1000000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.223744,657,510,147,0.153846,182,154,28,ncase_alpha_sweep/alpha_0p01/n_10000
0.01,19307,1930700,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.132834,1069,927,142,0.087379,206,188,18,ncase_alpha_sweep/alpha_0p01/n_19307
0.01,37276,3727600,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.098751,1681,1515,166,0.021097,237,232,5,ncase_alpha_sweep/alpha_0p01/n_37276
0.01,71969,7196900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.06463,2259,2113,146,0.0,245,245,0,ncase_alpha_sweep/alpha_0p01/n_71969
0.01,138950,13895000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.054417,2830,2676,154,0.0,305,305,0,ncase_alpha_sweep/alpha_0p01/n_138950
0.01,268270,26827000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.05036,3336,3168,168,0.0,310,310,0,ncase_alpha_sweep/alpha_0p01/n_268270
0.01,517947,51794700,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.048895,3620,3443,177,0.0,322,322,0,ncase_alpha_sweep/alpha_0p01/n_517947
0.01,1000000,100000000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.044768,3842,3670,172,0.0,323,323,0,ncase_alpha_sweep/alpha_0p01/n_1000000
0.05,100,10000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.762938,1198,284,914,0.762468,1183,281,902,ncase_alpha_sweep/alpha_0p05/n_100
0.05,193,19300,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.762082,1076,256,820,0.76118,1051,251,800,ncase_alpha_sweep/alpha_0p05/n_193
0.05,373,37300,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.724745,1079,297,782,0.72807,1026,279,747,ncase_alpha_sweep/alpha_0p05/n_373
0.05,720,72000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.687386,1094,342,752,0.683532,1008,319,689,ncase_alpha_sweep/alpha_0p05/n_720
0.05,1389,138900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.694772,1186,362,824,0.692857,980,301,679,ncase_alpha_sweep/alpha_0p05/n_1389
0.05,2683,268300,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.611827,1319,512,807,0.620332,964,366,598,ncase_alpha_sweep/alpha_0p05/n_2683
0.05,5179,517900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.532468,1463,684,779,0.491389,871,443,428,ncase_alpha_sweep/alpha_0p05/n_5179
0.05,10000,1000000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.441387,1817,1015,802,0.374843,795,497,298,ncase_alpha_sweep/alpha_0p05/n_10000
0.05,19307,1930700,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.351507,2256,1463,793,0.212084,811,639,172,ncase_alpha_sweep/alpha_0p05/n_19307
0.05,37276,3727600,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.287504,2873,2047,826,0.097996,898,810,88,ncase_alpha_sweep/alpha_0p05/n_37276
0.05,71969,7196900,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.230677,3351,2578,773,0.022962,871,851,20,ncase_alpha_sweep/alpha_0p05/n_71969
0.05,138950,13895000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.206221,3826,3037,789,0.010235,977,967,10,ncase_alpha_sweep/alpha_0p05/n_138950
0.05,268270,26827000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.192044,4223,3412,811,0.001953,1024,1022,2,ncase_alpha_sweep/alpha_0p05/n_268270
0.05,517947,51794700,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.186966,4450,3618,832,0.000943,1060,1059,1,ncase_alpha_sweep/alpha_0p05/n_517947
0.05,1000000,100000000,100.0,3,20000,0.8,0.06,0.03,0.8,1000,1.0,0.0015625,0.03953,0.179414,4576,3755,821,0.0,1103,1103,0,ncase_alpha_sweep/alpha_0p05/n_1000000
